ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Meta: _wpcom_is_markdown","Download 1 ID","Download 1 name","Download 1 URL","Download 2 ID","Download 2 name","Download 2 URL","Meta: _exclude_from_free_shipping"
13,variable,woo-vneck-tee,,"V-Neck T-Shirt",1,1,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,0.5,24,1,2,1,,,,"Clothing > Tshirts",,,"http://localhost:10005/wp-content/uploads/2025/07/vneck-tee-2.jpg, http://localhost:10005/wp-content/uploads/2025/07/vnech-tee-green-1.jpg, http://localhost:10005/wp-content/uploads/2025/07/vnech-tee-blue-1.jpg",,,,,,,,,0,,Color,"Blue, Green, Red",1,1,Size,"Large, Medium, Small",1,1,1,,,,,,,
14,variable,woo-hoodie,,Hoodie,1,0,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,1.5,10,8,3,1,,,,"Clothing > Hoodies",,,"http://localhost:10005/wp-content/uploads/2025/07/hoodie-2.jpg, http://localhost:10005/wp-content/uploads/2025/07/hoodie-blue-1.jpg, http://localhost:10005/wp-content/uploads/2025/07/hoodie-green-1.jpg, http://localhost:10005/wp-content/uploads/2025/07/hoodie-with-logo-2.jpg",,,,,,,,,0,,Color,"Blue, Green, Red",1,1,Logo,"Yes, No",1,0,1,,,,,,,
15,simple,woo-hoodie-with-logo,,"Hoodie with Logo",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,2,10,6,3,1,,,45,"Clothing > Hoodies",,,http://localhost:10005/wp-content/uploads/2025/07/hoodie-with-logo-2.jpg,,,,,,,,,0,,Color,Blue,1,1,,,,,1,,,,,,,
16,simple,woo-tshirt,,T-Shirt,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,0.8,8,6,1,1,,,18,"Clothing > Tshirts",,,http://localhost:10005/wp-content/uploads/2025/07/tshirt-2.jpg,,,,,,,,,0,,Color,Gray,1,1,,,,,1,,,,,,,
17,simple,woo-beanie,,Beanie,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,0.2,4,5,0.5,1,,18,20,"Clothing > Accessories",,,http://localhost:10005/wp-content/uploads/2025/07/beanie-2.jpg,,,,,,,,,0,,Color,Red,1,1,,,,,1,,,,,,,
18,simple,woo-belt,,Belt,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,1.2,12,2,1.5,1,,55,65,"Clothing > Accessories",,,http://localhost:10005/wp-content/uploads/2025/07/belt-2.jpg,,,,,,,,,0,,,,,,,,,,1,,,,,,,
19,simple,woo-cap,,Cap,1,1,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,0.6,8,6.5,4,1,,16,18,"Clothing > Accessories",,,http://localhost:10005/wp-content/uploads/2025/07/cap-2.jpg,,,,,,,,,0,,Color,Yellow,1,1,,,,,1,,,,,,,
20,simple,woo-sunglasses,,Sunglasses,1,1,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,0.2,4,1.4,1,1,,,90,"Clothing > Accessories",,,http://localhost:10005/wp-content/uploads/2025/07/sunglasses-2.jpg,,,,,,,,,0,,,,,,,,,,1,,,,,,,
21,simple,woo-hoodie-with-pocket,,"Hoodie with Pocket",1,1,hidden,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,3,10,8,2,1,,35,45,"Clothing > Hoodies",,,http://localhost:10005/wp-content/uploads/2025/07/hoodie-with-pocket-2.jpg,,,,,,,,,0,,Color,Gray,1,1,,,,,1,,,,,,,
22,simple,woo-hoodie-with-zipper,,"Hoodie with Zipper",1,1,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,2,8,6,2,1,,,45,"Clothing > Hoodies",,,http://localhost:10005/wp-content/uploads/2025/07/hoodie-with-zipper-2.jpg,,,,,,,,,0,,,,,,,,,,1,,,,,,,
